node,vehicle,allowed
CD01,V001,1
CD01,V002,1
CD01,V003,1
CD01,V004,1
CD01,V005,1
CD01,V006,1
CD01,V007,1
CD01,V008,1
CD01,V009,1
CD01,V010,1
CD01,V011,1
CD01,V012,1
CD01,V013,1
CD01,V014,1
CD01,V015,1
CD01,V016,1
CD01,V017,1
CD01,V018,1
CD01,V019,1
CD01,V020,1
CD01,V021,1
CD01,V022,1
CD01,V023,1
CD01,V024,1
CD01,V025,1
CD01,V026,1
CD01,V027,1
CD01,V028,1
CD01,V029,1
CD01,V030,1
CD01,V031,1
CD01,V032,1
CD01,V033,1
CD01,V034,1
CD01,V035,1
CD01,V036,1
CD01,V037,1
CD01,V038,1
CD01,V039,1
CD01,V040,1
CD01,V041,1
CD01,V042,1
CD01,V043,1
CD01,V044,1
CD01,V045,1
CD02,V001,1
CD02,V002,1
CD02,V003,1
CD02,V004,1
CD02,V005,1
CD02,V006,1
CD02,V007,1
CD02,V008,1
CD02,V009,1
CD02,V010,1
CD02,V011,1
CD02,V012,1
CD02,V013,1
CD02,V014,1
CD02,V015,1
CD02,V016,1
CD02,V017,1
CD02,V018,1
CD02,V019,1
CD02,V020,1
CD02,V021,1
CD02,V022,1
CD02,V023,1
CD02,V024,1
CD02,V025,1
CD02,V026,1
CD02,V027,1
CD02,V028,1
CD02,V029,1
CD02,V030,1
CD02,V031,1
CD02,V032,1
CD02,V033,1
CD02,V034,1
CD02,V035,1
CD02,V036,1
CD02,V037,1
CD02,V038,1
CD02,V039,1
CD02,V040,1
CD02,V041,1
CD02,V042,1
CD02,V043,1
CD02,V044,1
CD02,V045,1
CD03,V001,1
CD03,V002,1
CD03,V003,1
CD03,V004,1
CD03,V005,1
CD03,V006,1
CD03,V007,1
CD03,V008,1
CD03,V009,1
CD03,V010,1
CD03,V011,1
CD03,V012,1
CD03,V013,1
CD03,V014,1
CD03,V015,1
CD03,V016,1
CD03,V017,1
CD03,V018,1
CD03,V019,1
CD03,V020,1
CD03,V021,1
CD03,V022,1
CD03,V023,1
CD03,V024,1
CD03,V025,1
CD03,V026,1
CD03,V027,1
CD03,V028,1
CD03,V029,1
CD03,V030,1
CD03,V031,1
CD03,V032,1
CD03,V033,1
CD03,V034,1
CD03,V035,1
CD03,V036,1
CD03,V037,1
CD03,V038,1
CD03,V039,1
CD03,V040,1
CD03,V041,1
CD03,V042,1
CD03,V043,1
CD03,V044,1
CD03,V045,1
CD04,V001,1
CD04,V002,1
CD04,V003,1
CD04,V004,1
CD04,V005,1
CD04,V006,1
CD04,V007,1
CD04,V008,1
CD04,V009,1
CD04,V010,1
CD04,V011,1
CD04,V012,1
CD04,V013,1
CD04,V014,1
CD04,V015,1
CD04,V016,1
CD04,V017,1
CD04,V018,1
CD04,V019,1
CD04,V020,1
CD04,V021,1
CD04,V022,1
CD04,V023,1
CD04,V024,1
CD04,V025,1
CD04,V026,1
CD04,V027,1
CD04,V028,1
CD04,V029,1
CD04,V030,1
CD04,V031,1
CD04,V032,1
CD04,V033,1
CD04,V034,1
CD04,V035,1
CD04,V036,1
CD04,V037,1
CD04,V038,1
CD04,V039,1
CD04,V040,1
CD04,V041,1
CD04,V042,1
CD04,V043,1
CD04,V044,1
CD04,V045,1
CD05,V001,1
CD05,V002,1
CD05,V003,1
CD05,V004,1
CD05,V005,1
CD05,V006,1
CD05,V007,1
CD05,V008,1
CD05,V009,1
CD05,V010,1
CD05,V011,1
CD05,V012,1
CD05,V013,1
CD05,V014,1
CD05,V015,1
CD05,V016,1
CD05,V017,1
CD05,V018,1
CD05,V019,1
CD05,V020,1
CD05,V021,1
CD05,V022,1
CD05,V023,1
CD05,V024,1
CD05,V025,1
CD05,V026,1
CD05,V027,1
CD05,V028,1
CD05,V029,1
CD05,V030,1
CD05,V031,1
CD05,V032,1
CD05,V033,1
CD05,V034,1
CD05,V035,1
CD05,V036,1
CD05,V037,1
CD05,V038,1
CD05,V039,1
CD05,V040,1
CD05,V041,1
CD05,V042,1
CD05,V043,1
CD05,V044,1
CD05,V045,1
CD06,V001,1
CD06,V002,1
CD06,V003,1
CD06,V004,1
CD06,V005,1
CD06,V006,1
CD06,V007,1
CD06,V008,1
CD06,V009,1
CD06,V010,1
CD06,V011,1
CD06,V012,1
CD06,V013,1
CD06,V014,1
CD06,V015,1
CD06,V016,1
CD06,V017,1
CD06,V018,1
CD06,V019,1
CD06,V020,1
CD06,V021,1
CD06,V022,1
CD06,V023,1
CD06,V024,1
CD06,V025,1
CD06,V026,1
CD06,V027,1
CD06,V028,1
CD06,V029,1
CD06,V030,1
CD06,V031,1
CD06,V032,1
CD06,V033,1
CD06,V034,1
CD06,V035,1
CD06,V036,1
CD06,V037,1
CD06,V038,1
CD06,V039,1
CD06,V040,1
CD06,V041,1
CD06,V042,1
CD06,V043,1
CD06,V044,1
CD06,V045,1
CD07,V001,1
CD07,V002,1
CD07,V003,1
CD07,V004,1
CD07,V005,1
CD07,V006,1
CD07,V007,1
CD07,V008,1
CD07,V009,1
CD07,V010,1
CD07,V011,1
CD07,V012,1
CD07,V013,1
CD07,V014,1
CD07,V015,1
CD07,V016,1
CD07,V017,1
CD07,V018,1
CD07,V019,1
CD07,V020,1
CD07,V021,1
CD07,V022,1
CD07,V023,1
CD07,V024,1
CD07,V025,1
CD07,V026,1
CD07,V027,1
CD07,V028,1
CD07,V029,1
CD07,V030,1
CD07,V031,1
CD07,V032,1
CD07,V033,1
CD07,V034,1
CD07,V035,1
CD07,V036,1
CD07,V037,1
CD07,V038,1
CD07,V039,1
CD07,V040,1
CD07,V041,1
CD07,V042,1
CD07,V043,1
CD07,V044,1
CD07,V045,1
CD08,V001,1
CD08,V002,1
CD08,V003,1
CD08,V004,1
CD08,V005,1
CD08,V006,1
CD08,V007,1
CD08,V008,1
CD08,V009,1
CD08,V010,1
CD08,V011,1
CD08,V012,1
CD08,V013,1
CD08,V014,1
CD08,V015,1
CD08,V016,1
CD08,V017,1
CD08,V018,1
CD08,V019,1
CD08,V020,1
CD08,V021,1
CD08,V022,1
CD08,V023,1
CD08,V024,1
CD08,V025,1
CD08,V026,1
CD08,V027,1
CD08,V028,1
CD08,V029,1
CD08,V030,1
CD08,V031,1
CD08,V032,1
CD08,V033,1
CD08,V034,1
CD08,V035,1
CD08,V036,1
CD08,V037,1
CD08,V038,1
