vehicle,from,to,dist_km,time_h,cost,fuel_cost,dist_cost,time_cost,allowed_pair
V002,C002,C006,7.087,0.283,23722.043,3850.521,17717.12,2154.402,1
V002,C006,CD05,6.558,0.262,21951.549,3563.137,16394.804,1993.608,1
V002,CD05,C002,1.99,0.08,6660.49,1081.119,4974.474,604.896,1
V001,C005,C007,10.3,0.412,33079.785,4197.419,25751.039,3131.326,1
V001,C007,C008,4.707,0.188,15117.675,1918.248,11768.391,1431.036,1
V001,C008,CD09,4.873,0.195,15649.172,1985.688,12182.136,1481.348,1
V001,C003,C005,1.077,0.043,3459.933,439.023,2693.394,327.517,1
V001,CD09,C003,0.804,0.032,2580.642,327.452,2008.907,244.283,1
V003,C004,C001,0.714,0.029,2389.708,387.893,1784.785,217.03,1
V003,CD12,C004,10.257,0.41,34334.641,5573.139,25643.279,3118.223,1
V003,C001,CD12,10.026,0.401,33560.168,5447.428,25064.854,3047.886,1
V005,C009,CD11,3.439,0.138,11510.353,1868.341,8596.659,1045.354,1
V005,CD11,C009,3.439,0.138,11510.353,1868.341,8596.659,1045.354,1
